Index,0,1,2,Ensemble_Decision
0,0.75,0.25,0.0,0
1,0.5,0.5,0.0,0
2,0.25,0.75,0.0,1
3,1.0,0.0,0.0,0
4,0.0,1.0,0.0,1
5,0.5,0.5,0.0,0
6,0.25,0.75,0.0,1
7,0.5,0.5,0.0,0
8,0.25,0.75,0.0,1
9,1.0,0.0,0.0,0
10,0.0,1.0,0.0,1
11,0.5,0.5,0.0,0
12,0.25,0.75,0.0,1
13,0.5,0.5,0.0,0
14,0.25,0.75,0.0,1
15,0.25,0.75,0.0,1
16,0.5,0.5,0.0,0
17,0.5,0.5,0.0,0
18,0.25,0.75,0.0,1
19,0.25,0.75,0.0,1
20,1.0,0.0,0.0,0
21,0.75,0.25,0.0,0
22,0.25,0.75,0.0,1
23,1.0,0.0,0.0,0
24,0.25,0.5,0.25,1
25,0.0,1.0,0.0,1
26,0.75,0.25,0.0,0
27,0.75,0.0,0.25,0
28,0.0,1.0,0.0,1
29,1.0,0.0,0.0,0
30,0.0,1.0,0.0,1
31,0.5,0.5,0.0,0
32,0.0,1.0,0.0,1
33,0.75,0.25,0.0,0
34,0.5,0.5,0.0,0
35,0.25,0.75,0.0,1
36,0.5,0.5,0.0,0
37,0.0,1.0,0.0,1
38,0.5,0.5,0.0,0
39,0.5,0.5,0.0,0
40,0.0,1.0,0.0,1
41,0.5,0.5,0.0,0
42,0.0,1.0,0.0,1
43,0.25,0.5,0.25,1
44,0.5,0.5,0.0,0
45,0.25,0.75,0.0,1
46,0.25,0.75,0.0,1
47,0.0,1.0,0.0,1
48,0.25,0.75,0.0,1
49,0.25,0.75,0.0,1
50,1.0,0.0,0.0,0
51,0.5,0.5,0.0,0
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.5,0.5,0.0,0
55,0.75,0.25,0.0,0
56,0.5,0.5,0.0,0
57,0.5,0.5,0.0,0
58,0.5,0.5,0.0,0
59,1.0,0.0,0.0,0
60,0.25,0.75,0.0,1
61,0.25,0.75,0.0,1
62,0.25,0.75,0.0,1
63,0.25,0.75,0.0,1
64,0.0,1.0,0.0,1
65,0.25,0.75,0.0,1
66,0.25,0.5,0.25,1
