epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.41322,1.97879,0.425,0.875,1.55046,0.000272113,0.000272113,0.000272113
2,9.53957,1.53062,0.575,0.9375,1.32389,0.000531637,0.000531637,0.000531637
3,12.9894,1.38583,0.525,0.9625,1.51139,0.000772835,0.000772835,0.000772835
4,16.7647,1.30005,0.5,0.925,1.40918,0.000750533,0.000750533,0.000750533
5,21.4163,1.25286,0.5375,0.9375,1.26628,0.000723044,0.000723044,0.000723044
6,25.9853,1.12939,0.575,0.9375,1.37174,0.000695555,0.000695555,0.000695555
7,30.502,1.07465,0.5375,0.925,1.74414,0.000668066,0.000668066,0.000668066
8,34.686,1.03689,0.6,0.95,1.43783,0.000640577,0.000640577,0.000640577
9,39.1706,1.007,0.65,0.925,1.38249,0.000613088,0.000613088,0.000613088
10,43.5086,0.89414,0.6,0.9,1.26725,0.000585599,0.000585599,0.000585599
11,47.773,0.82939,0.6,0.95,1.21501,0.00055811,0.00055811,0.00055811
12,51.9,0.79777,0.675,0.95,1.35026,0.000530621,0.000530621,0.000530621
13,56.3566,0.74917,0.55,0.9375,1.42415,0.000503132,0.000503132,0.000503132
14,60.3845,0.61828,0.6125,0.9625,1.45768,0.000475643,0.000475643,0.000475643
15,64.5489,0.55407,0.575,0.95,1.4222,0.000448154,0.000448154,0.000448154
16,68.6524,0.57365,0.5375,0.95,1.60124,0.000420665,0.000420665,0.000420665
17,72.7707,0.53269,0.675,0.95,1.52148,0.000393176,0.000393176,0.000393176
18,77.0848,0.50407,0.6375,0.95,1.28353,0.000365687,0.000365687,0.000365687
19,81.1488,0.4188,0.65,0.975,1.42367,0.000338198,0.000338198,0.000338198
20,85.4501,0.46471,0.625,0.975,1.31999,0.000310709,0.000310709,0.000310709
21,115.199,0.44119,0.6125,0.95,1.62956,0.00028322,0.00028322,0.00028322
22,119.49,0.36545,0.6375,0.9875,1.66146,0.000255731,0.000255731,0.000255731
