Index,0,1,2,Ensemble_Decision
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,0.0,0.984,0.016,1
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,0.0,0.107,0.887,2
6,0.0,0.96,0.04,1
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,1.0,0.0,0.0,0
10,0.0,0.031,0.969,2
11,0.0,0.794,0.206,1
12,0.0,0.878,0.122,1
13,1.0,0.0,0.0,0
14,1.0,0.0,0.0,0
15,0.0,1.0,0.0,1
16,0.0,0.666,0.327,1
17,0.0,0.072,0.921,2
18,0.0,0.989,0.011,1
19,0.0,0.0,1.0,2
20,0.0,1.0,0.0,1
21,0.0,0.0,1.0,2
22,0.0,0.995,0.005,1
23,1.0,0.0,0.0,0
24,0.0,0.0,1.0,2
25,0.0,1.0,0.0,1
26,1.0,0.0,0.0,0
27,1.0,0.0,0.0,0
28,1.0,0.0,0.0,0
29,0.005,0.977,0.005,1
