Index,0,1,2,Ensemble_Decision
0,0.005,0.985,0.01,1
1,0.0,0.0,1.0,2
2,0.0,0.317,0.674,2
3,0.0,0.379,0.621,2
4,0.0,0.0,1.0,2
5,0.0,1.0,0.0,1
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,0.0,0.56,0.44,1
9,0.0,0.014,0.982,2
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,0.0,0.644,0.35,1
14,0.0,0.0,1.0,2
15,1.0,0.0,0.0,0
16,0.0,0.0,1.0,2
17,0.0,0.0,1.0,2
18,1.0,0.0,0.0,0
19,0.0,0.942,0.053,1
20,0.0,0.88,0.116,1
21,0.0,0.212,0.788,2
22,0.0,0.922,0.074,1
23,0.0,0.0,1.0,2
24,1.0,0.0,0.0,0
25,0.0,0.0,1.0,2
26,0.0,0.998,0.002,1
27,0.0,0.0,1.0,2
28,0.0,1.0,0.0,1
29,0.0,0.995,0.005,1
