Index,0,1,2,Ensemble_Decision
0,0.0,0.17,0.83,2
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,0.0,1.0,0.0,1
5,1.0,0.0,0.0,0
6,0.0,1.0,0.0,1
7,0.0,0.0,0.999,2
8,1.0,0.0,0.0,0
9,0.0,1.0,0.0,1
10,0.0,0.048,0.944,2
11,1.0,0.0,0.0,0
12,0.0,0.175,0.825,2
13,0.0,0.064,0.928,2
14,0.0,0.992,0.002,1
15,0.005,0.977,0.018,1
16,0.005,0.002,0.993,2
17,0.0,1.0,0.0,1
18,1.0,0.0,0.0,0
19,0.0,0.985,0.008,1
20,0.0,0.006,0.994,2
21,1.0,0.0,0.0,0
22,1.0,0.0,0.0,0
23,0.0,1.0,0.0,1
24,0.0,0.188,0.804,2
25,1.0,0.0,0.0,0
26,0.0,0.002,0.995,2
27,1.0,0.0,0.0,0
28,1.0,0.0,0.0,0
29,0.0,0.266,0.722,2
